ID,question,tags
291,What inanimate object would be the most annoying if it played loud upbeat music while being used?,
292,Where do you see yourself in 10 years?,
293,What was your biggest fish out of water experience?,
294,What’s the funniest thing you’ve seen a kid do?,
295,What is your favorite lifehack?,
296,What do you do when you hear something fall in the middle of the night while you are in bed?,
297,What job are you grossly under qualified for but think you would be pretty good at?,
298,What was the last book you read that you couldn’t put down?,
299,What cause are you super passionate about?,
300,What fictional character would you want to be friends with?,
301,How many times do you check Facebook every day?,
302,"Do you really care about the Academy Awards, or do you think they’re just dumb?",
303,What’s the weirdest crush you’ve had?,
304,What is the best thing going on in your life right now?,
305,Do you actually believe in soulmates?,
306,What’s the easiest dish to cook?,
307,What makes you nostalgic for your childhood?,
308,Which charity or charitable cause is most deserving of money?,
309,"If you could put a new idiom into common usage, what would it be?",
310,What is the weirdest text you have ever received recently?,
311,What country would you love to visit?,
312,What are the qualities you search for in other people?,
313,What family traditions have we forgotten about that you'd like to revive?,
314,What music do you usually play on a road trip?,
315,What’s the best lesson you’ve learned from a work of fiction?,
316,What’s your favorite exotic animal?,
317,Do you feel happy to be my friend?,
318,What has been your hardest physical challenge?,
319,"If you could have a Ph.D. in anything, what would it be?",
320,Who is your role model in life?,
321,Have you experienced being confined in a hospital?,
322,"If you could teach a dog one trick, what would it be?",
323,"If you could only have one superpower, what would it be?",
324,What artist or band do you always recommend when someone asks for a music recommendation?,
325,Which celebrity do you think is the most down to earth?,
326,What’s fine in small numbers but terrifying in large numbers?,
327,"If you could eat one cuisine for the rest of your life, what would it be?",
328,What tips or tricks have you picked up from your job / jobs?,
329,What did you Google last?,
330,"If you could switch lives with anyone for a day, who would it be?",
331,How good is your sense of direction? How often do you get lost?,
332,"Do you buy designer clothes, avoid them, or simply go by style / price? Why?",
333,What makes your hometown special?,
334,What’s the funniest pick up line you’ve heard?,
335,What piece of “art” would you create if you had to pretend to be an artist and submit something to a gallery?,
336,What’s a current habit that you want to quit?,
337,Do you prefer to save money for the future or spend and enjoy the present?,
338,Which of your possessions are so precious that if you dropped it in a public toilet you would reach in and grab it?,
339,What quotes do people admire but you think is a total lie?,
340,What clubs were you a part of in high school?,
341,What usually keeps you up at night when you couldn’t sleep?,
342,Do you ever believe in heroic deeds?,
343,What’s the longest rabbit hole you’ve been down?,
344,What would be the worst thing to hear as you are going under anesthesia before heart surgery?,
345,Who was your first crush?,
346,"If you were given the chance to travel back to the past, where would you go?",
347,What makes you roll your eyes every time you hear it?,
348,What habits are preventing you from achieving your goals?,
349,What word do you always misspell?,
350,What is the best prank you’ve ever pulled on someone?,
351,What is your favorite outdoor activity?,
352,How much do you think names affect the outcomes of people’s lives?,
353,What’s the best meal you’ve ever had?,
354,How much of your body would you cybernetically enhance if you could?,
355,"If you could teleport anything you want, worth two million dollars or less, anywhere you want, what would you choose and where would you teleport it?",
356,Fun Questions to Ask Your Family,
357,What is one thing you really want to accomplish before you die?,
358,What is your favorite smell?,
359,Do you have a close relationship with your parents?,
360,"What’s your “Back in my day, we…”?",
361,Who in your life has the best / worst luck?,
362,How comfortable are you being without a phone?,
363,What current trend makes no sense to you?,
364,Who do you look up to the most?,
365,What makes you happiest?,
366,What is one thing you refuse to spend money on?,
367,"If you had 24 hours to do whatever you wanted in this country, what would you like to do?",
368,Who was your childhood crush?,
369,What is the first thing you notice when you meet someone new?,
370,What would you name your yacht if you had one?,
371,What problem are you currently grappling with?,
372,What do you wish people would stop talking about already?,
373,How do you think you’d fair in prison?,
374,What makes you really angry?,
375,"Do you play video games? If so, what type of video games do you play the most? If not, why not?",
376,What’s your least favorite board game?,
377,When was the last time you’ve ever felt jealous?,
378,What do you think of the electric scooters you find in most big cities?,
379,What goal do you think humanity is not focused enough on achieving?,
380,What’s the last book you didn’t finish?,
381,What do you hate about me?,
382,Would you like to tell me a story?,
383,"If someone would let you borrow their car, where would you go?",
384,What about modern society baffles you?,
385,"If animals could talk, which animal would be the most annoying?",
386,Have you tried flirting with a stranger online?,
387,What is your favorite animated film?,
388,What critically acclaimed movie do you hate?,
389,How would you like to see the education system change?,
390,What’s your dream job?,
391,What makes you laugh no matter what?,
392,"If you were given the chance to kiss and hug someone, who would that be?",
393,How would it feel like to cry underwater?,
394,When was the last time you slept more than nine hours?,
395,What is your go-to midnight snack?,
396,Which moment of your life do you wish you had on video?,
397,"What are some weird ice cream flavors you’ve seen or heard of, would you try them?",
398,What’s the most annoying animal you’ve encountered?,
399,What do you pretend to understand but actually have no clue about?,
400,What’s the worst hairstyle you’ve ever had?,
401,What’s the most ridiculous animal on the planet?,
402,Do you ever find yourself in the same situations over and over again?,
403,Do you believe in heaven?,
404,What’s that certain thing that people always misunderstand about you?,
405,Where’s the worst-smelling place you have ever been?,
406,Do you believe that love is blind?,
407,"If you were a spice, what spice would you be?",
408,"If you were given the chance to listen to a singer or a band for the rest of your life, who/what would it be?",
409,Do you eat food that’s past its expiration date if it still smells and looks fine?,
410,Is there anything you wish you could erase from your memory?,
411,What’s your favorite day of the week?,
412,"If you could have an all-expenses paid trip to see any famous world monument, which monument would you choose?",
413,What is something your brain wants to convince you to do but you have to fight it?,
414,What is a risk worth taking?,
415,What has been your hardest goodbye in life been so far?,
416,What’s the first book you’ve read?,
417,How good are you at admitting when you are wrong?,
418,What band are you dying to see live?,
419,What is the dumbest commercial you’ve ever seen?,
420,What is the worst quality a person can have?,
421,What would a world populated by clones of you be like?,
422,What is the unluckiest thing to ever happen to you?,
423,What’s the most annoying noise?,
424,What style of design do you think is the perfect match for you when it comes to houses?,
425,What’s the shadiest thing you’ve seen someone do?,
426,How many pizzas can you eat in a minute?,
427,What are those things you're too old to do but you still enjoy?,
428,What horror story do you have from a job you’ve had?,
429,How self-motivated are you?,
430,"If your life was a reality show, what would the premise be?",
431,What would be the title of the movie of your life?,
432,What is the most expensive thing you’ve ever lost?,
433,When was the last time you got to tell someone “I told you so.”?,
434,What inconsequential super power would you like to have?,
435,When was the last time you cried?,
436,Are you an impulsive type of person?,
437,What memory of yours feels real but is most likely false?,
438,What’s the craziest video you’ve ever seen?,
439,Do you still remember the place where we first met?,
440,"Out of the four seasons, what’s your favorite one?",
441,Which fictional book character would like to meet in the future?,
442,Do you judge a book on its cover?,
443,Do you believe in second chances?,
444,What is the most overrated movie?,
445,What are the songs that make you sing along whenever you hear it?,
446,What is the spiciest thing you’ve ever eaten?,
447,What happens in your country regularly that people in most countries would find strange or bizarre?,
448,What’s the clumsiest thing you’ve done?,
449,Do you like to save more or spend more?,
450,What kind of people do you surround yourself with?,
451,Have you ever thrown someone an extravagant party?,
452,What’s your least favorite condiment?,
453,Which one do you prefer: summer or winter?,
454,What is one thing you wish you knew in high-school?,
455,What’s your most embarrassing moment in grade school?,
456,What’s the funniest joke you know by heart?,
457,What’s the most beautiful part of your face?,
458,What makes you the proudest?,
459,Which toy do you wish didn't exist?,
460,What actors or actresses can’t play a different character because they played their most famous character too well?,
461,"What’s something that everyone, absolutely everyone, in the entire world can agree on?",
462,What is your most cherished possession?,
463,What feels like a lifetime ago but was relatively recent?,
464,Would you rather visit your ancestors in the past or meet your descendants in the future?,
465,What job do you think won’t exist anymore in the future?,
466,Can you show me your oldest item inside your closet?,
467,Would you break the law to save a loved one?,
468,What outdated slang do you use on a regular basis?,
469,What’s the most depressing meal you’ve eaten?,
470,"Who did you use to look up to, but they screwed up and you lost faith in them?",
471,How much of a role do you think A.I. will play in the near future?,
472,What’s the craziest conversation you’ve overheard?,
473,How did your parents meet?,
474,How do you think the internet would change if all advertising was banned on the internet?,
475,What’s the silliest thing you’ve seen someone get upset about?,
476,How do you inspire other people?,
477,"If you couldn’t be convicted of any one type of crime, what criminal charge would you like to be immune to?",
478,What’s the weirdest thing about modern life that people just accept as normal?,
479,What is the luckiest thing to ever happen to you?,
480,When was the last time you were hopelessly lost?,
481,What traits did you get from your parents?,
482,What’s the weirdest thing that has happened to you while working at your job?,
483,What is your biggest accomplishment in life?,
484,What are you not phased by?,
485,"If you could have any animal as a pet, what would you choose?",
486,What special skill would you want to have?,
487,What advice would you give your 5-year-old self?,
488,Where would you go if you could teleport yourself from one place to another?,
489,Do you get bored easily?,
490,What’s the most epic way you’ve seen someone quit or be fired?,
491,Do you believe in karma?,
492,What would our friendship be called if it was a comedy movie?,
493,What’s the most addictive game for you?,
494,What did you think was going to be amazing but turned out to be horrible?,
495,What are the musical instruments you can play?,
496,What’s the funniest actual name you’ve heard of someone having?,
497,Whats your biggest fear?,
498,What would the adult version of an ice-cream truck sell and what song would it play?,
499,What’s the scariest thing you’ve ever seen?,
500,"What songs do you feel compelled to sing along with when you hear them, even if you don’t totally know all the words?",
501,What are your top 5 favorite fast-food restaurants?,
502,Do you have any useless talents?,
503,What is the best complement you’ve ever received?,
504,"If you could dedicate your life to solving one problem, which would you choose?",
505,What are some of the most common misconceptions?,
506,What is the most irritating sound?,
507,What’s the last movie you watched?,
508,What is something you always travel with?,
509,What do you know the most about?,
510,Who is your greatest enemy?,
511,Are you a morning person or a night person?,
512,Have you ever had a paranormal experience?,
513,What weird food do you love?,
514,What is your favorite accessory?,
515,"What’s legal now, but probably won’t be in 25 years?",
516,What was one experience that you were hesitant to try but are really glad you did?,
517,What product or service is way more expensive than it needs to be?,
518,What was the best part about college?,
519,What bizarre food pairing do you love?,
520,What are a couple of your favorite quotes?,
521,What do you do to make the world a better place?,
522,"Would you rather fight a horse-sized duck, or a 100 duck-sized horses?",
523,Do you believe in aliens?,
524,How much do you recycle?,
525,What is the best part of this period your life? What do you think you’ll be nostalgic for?,
526,What is your favorite sports team?,
527,Where do you see yourself in the next 5 years?,
528,What’s the best gift you’ve ever given someone?,
529,What movie makes you laugh even after watching it several times?,
530,How much time do you spend on your phone?,
531,Can you do your best impression of someone famous?,
532,What’s the last food you ate?,
533,"What does the opposite sex do that you wish that you could do, but it’s not anatomically feasible or it’s socially frowned upon?",
534,What are the things I do that you wish I would stop doing?,
535,Do you think you are good leader or would make a good leader? Why or why not?,
536,What’s the food you usually refuse to share?,
537,What is your favorite indoor activity?,
538,"If you were a pair of shoes, what brand would you like to be?",
539,What do people usually come to you for advice on?,
540,Who is your childhood best friend?,
541,What expression do you use the most?,
542,What is the perfect room temperature?,
543,When was the last time you went camping?,
544,"If you had to disappear and start a whole new life, what would you want your new life to look like?",
545,What did you learn today?,
546,What are some of the most interesting facts about the natural world you know?,
547,What has been the longest time you had to wait for someone?,
548,What’s a movie that made you cry from laughter?,
549,What was the most important appointment or deadline you missed?,
550,What is your all-time favorite movie?,
551,What is the absolute worst last name someone can have?,
552,What are you a stickler for?,
553,What was one of the most interesting concerts you’ve been to?,
554,What was your favorite book as a kid?,
555,How much do you plan / prepare for the future?,
556,"If you could be any type of object, what would you like to be?",
557,"If you were given a PhD degree, but had no more knowledge of the subject of the degree besides what you have now, what degree would you want to be given to you?",
558,"For a day, would you rather be a hobbit or an elf?",
559,What is one bad habit we are all better off without?,
560,Can you carry an elephant?,
561,What’s the scariest non-horror movie?,
562,What’s the most anxiety inducing thing you do on a regular basis?,
563,What story you’ve heard has stayed with you and always disturbs you every time you think about it?,
564,What’s your worst personality trait?,
565,What’s the opposite of a koala?,
566,In what area of life do you not trust your judgment?,
567,What’s the most trouble you’ve ever been in?,
568,What obstacles would be included in the World’s most amazing obstacle course?,
569,What syrup do you like with your pancake: honey or chocolate?,
570,What makes your day better?,
571,What do you usually do during weekends?,
572,"What’s the most boring sport, and what would you do to make it more exciting?",
573,What unethical experiment would have the biggest positive impact on society as a whole?,
574,What's the fanciest event you've ever attended?,
575,What’s the most awkward thing that happens to you on a regular basis?,
576,What is your current favorite TV show?,
577,Are you an indoor or outdoor person?,
578,"If dark chocolate is the only available food in this planet, would you eat it?",
579,"Tear gas makes people cry and laughing gas makes people giggle, what other kinds of gases do you wish existed?",
580,Do you like to stalk someone on social media?,
581,What is your worst daily habit?,
582,What’s your secret talent?,
583,Do you think life after death is really possible?,
584,What’s incredibly cheap and you would pay way more for?,
585,What do you spend the most time worrying about?,
586,Which celebrity would you want to be friends with in real life?,
587,What is a memorable mess you had to clean up?,
588,What common expression is total B.S.?,
589,Who do you feel like you know even though you’ve never met them?,
590,What was your happiest age?,
591,How many times has your heart been broken?,
592,What is the creepiest thing anyone has ever said to you?,
593,What are you currently worried about?,
594,Who has zero filter between their brain and mouth?,
595,When was the time you felt really proud of me?,
596,What food do you crave most often?,
597,What one person did you have on your wall in high-school?,
598,What are the facts about you that you think I would find difficult to believe?,
599,Who do you wish you could get back into contact with?,
600,What’s a movie that made you cry from sadness?,
601,What do a lot of people hope will happen but is just not going to happen?,
602,What app do you check the most?,
603,Which one do you like: foot massage or hand massage?,
604,What is the most scared you’ve ever been?,
605,Who do you go out of your way to be nice to?,
606,What’s your favorite TV show of all time?,
607,What’s something that you don’t know that you want to learn?,
608,"If you could make one word famous, what would it be?",
609,What is your dream for me?,
610,Which one do you prefer: being controlled or be in control?,
611,"If you could be part of another family, whose family would it be?",
612,What is your dream laptop?,
613,What was your favorite childhood snack?,
614,What’s something people don’t worry about but really should?,
615,Which celebrity has let fame get to their head the most?,
616,What’s your funniest story involving a car?,
617,What’s your best story from a wedding?,
618,"What’s something that people think makes them look cool, but actually has the opposite effect?",
619,Could you describe your favorite material object that you already have?,
620,What qualities do all your friends have in common?,
621,Who was your craziest / most interesting teacher?,
622,Where do you like to go right now?,
623,Who you share the last slice of cake with if there was just one piece left at your birthday party?,
624,What was your biggest childhood fear?,
625,Who’s the messiest person you’ve ever known?,
626,What’s the coldest you’ve ever been?,
627,What are some misconceptions about your hobby?,
628,Would you rather go back in time or forward in time?,
629,What’s the weirdest Halloween costume you have ever worn in your entire life?,
630,What topic could you spend hours talking about?,
631,What is the coolest animal in the wild?,
632,What big event do you think will happen soon that most people aren’t expecting?,
633,"In the past people were buried with the items they would need in the afterlife, what would you want buried with you so you could use it in the afterlife?",
634,How well do you handle spicy food?,
635,"When was the last time you were snooping, and found something you wish you hadn’t?",
636,What do you like most about going to the beach?,
637,Which celebrity is the most likely to have a collection of canes that are just for show?,
638,What songs do you only know the chorus to?,
639,Do you have a green thumb or hands of death when it comes to plants? What roughly is your kill / grow ratio?,
640,Do you think millennials are as bad as everyone says?,
641,What routine are you sick of but haven’t gotten around to changing it?,
642,What TV show character would it be the most fun to change places with for a week?,
643,When was the last time you stayed up through the entire night?,
644,Who should everyone follow on social media?,
645,"Most cultures have some form of dance, what benefit do you think dancing gave to early humans?",
646,What were some of your favorite toys as a child?,
647,Which animal would you want to have a conversation with?,
648,"What age would you prefer if you could choose any age for the rest of your life, and why?",
649,"What sport could you play the longest in a televised game, without anyone discovering you aren’t a professional athlete?",
650,What’s your greatest philosophy in life?,
651,What book do you wish you had read even though you don’t want to read it?,
652,What’s missing in your life right now?,
653,Would you rather have a massage or get a facial?,
654,Do you think that children born today will have better or worse lives than their parents?,
655,Who is the most creative person you know?,
656,What have you wasted way too much time on?,
657,What word can you never spell right?,
658,What was something you really wanted to do as a kid but never had the opportunity to do?,
659,Did you ever think you had superpowers as a child?,
660,How would you pass the time if you were sentenced to jail for a year?,
661,Who is the most impressive famous person today?,
662,"If you could sit on a bench in the middle of a beautiful forest, who would you like to sit next to you and why?",
663,What emoji do you use the most?,
664,What’s about to get much better?,
665,What was the most terrifying experience of your life?,
666,What nicknames do you have for people in your life?,
667,What always makes you feel like a kid again?,
668,"If people receive a purple heart for bravery, what would other color hearts represent?",
669,What subject do you wish you knew more about?,
670,What job would you be terrible at?,
671,What’s your favorite action movie?,
672,How many countries have you visited so far?,
673,What’s a food trend you hate?,
674,What would you teach every girl on the planet about men if you had the chance?,
675,What’s your favorite sport?,
676,What would you do if ever we were given a special time together?,
677,What are you interested in that most people aren’t?,
678,What do you think about when you hear the word “classy”?,
679,Who was your favorite classmate?,
680,"If you could have one magic power, what would it be?",
681,What’s the most beautiful country you’ve ever visited?,
682,What would you like to be remembered for?,
683,What could you always use more of?,
684,What are the three most important life lessons you’ve learned?,
685,What are some pieces of art that had a big impact on you?,
686,What’s the spiciest thing you’ve ever eaten?,
687,What’s the best advice you could give your future children?,
688,What’s the hardest you’ve ever worked?,
